"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,150,"MNE","Montenegro",1,"Šavnik","ME.SA",NA,"","Opština","Municipality","",""
2,150,"MNE","Montenegro",2,"Žabljak","ME.ZA",NA,"","Opština","Municipality","",""
3,150,"MNE","Montenegro",3,"Andrijevica","ME.AN",NA,"","Opština","Municipality","",""
4,150,"MNE","Montenegro",4,"Bar","ME.BA",NA,"","Opština","Municipality","",""
5,150,"MNE","Montenegro",5,"Berane","ME.BE",NA,"","Opština","Municipality","",""
6,150,"MNE","Montenegro",6,"Bijelo Polje","ME.BP",NA,"","Opština","Municipality","",""
7,150,"MNE","Montenegro",7,"Budva","ME.BU",NA,"","Opština","Municipality","",""
8,150,"MNE","Montenegro",8,"Cetinje","ME.CE",NA,"","Opština","Municipality","",""
9,150,"MNE","Montenegro",9,"Danilovgrad","ME.DA",NA,"","Opština","Municipality","",""
10,150,"MNE","Montenegro",10,"Herceg Novi","ME.HN",NA,"","Opština","Municipality","",""
11,150,"MNE","Montenegro",11,"Kolašin","ME.KL",NA,"","Opština","Municipality","",""
12,150,"MNE","Montenegro",12,"Kotor","ME.KT",NA,"","Opština","Municipality","",""
13,150,"MNE","Montenegro",13,"Mojkovac","ME.MK",NA,"","Opština","Municipality","",""
14,150,"MNE","Montenegro",14,"Nikšic","ME.NK",NA,"","Opština","Municipality","",""
15,150,"MNE","Montenegro",15,"Plav","ME.PV",NA,"","Opština","Municipality","",""
16,150,"MNE","Montenegro",16,"Pljevlja","ME.PL",NA,"","Opština","Municipality","",""
17,150,"MNE","Montenegro",17,"Plužine","ME.PU",NA,"","Opština","Municipality","",""
18,150,"MNE","Montenegro",18,"Podgorica","ME.PG",NA,"","Opština","Municipality","",""
19,150,"MNE","Montenegro",19,"Rožaje","ME.RO",NA,"","Opština","Municipality","",""
20,150,"MNE","Montenegro",20,"Tivat","ME.TI",NA,"","Opština","Municipality","",""
21,150,"MNE","Montenegro",21,"Ulcinj","ME.UL",NA,"","Opština","Municipality","",""
